Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1,CN,2,2019,27,M,false,JMC,OCTOBER,2022,Lecture 9
1,CN,2,2019,27,M,false,PYC,FEBRUARY,2020,Lecture 10
2,US,11,2016,26,M,true,JMC,DECEMBER,2021,Lecture 10
2,US,11,2016,26,M,true,PYC,FEBRUARY,2017,Lecture 11
3,IN,12,2020,55,F,true,JMC,MARCH,2021,Lecture 10
3,IN,12,2020,55,F,true,PYC,OCTOBER,2021,Lecture 11
4,IN,9,2019,27,M,false,JMC,MAY,2024,Lecture 13
4,IN,9,2019,27,M,false,PYC,FEBRUARY,2023,Lecture 13
5,CN,6,2015,68,M,true,JMC,AUGUST,2023,Lecture 10
5,CN,6,2015,68,M,true,PYC,NOVEMBER,2016,Lecture 4
6,IN,11,2016,41,U,true,JMC,MARCH,2016,Lecture 3
6,IN,11,2016,41,U,true,PYC,FEBRUARY,2022,Lecture 9
7,CN,6,2017,80,F,true,JMC,FEBRUARY,2019,Lecture 7
7,CN,6,2017,80,F,true,PYC,MAY,2019,Lecture 9
8,GB,6,2024,76,U,true,JMC,SEPTEMBER,2024,Lecture 10
8,GB,6,2024,76,U,true,PYC,NOVEMBER,2024,Lecture 8
9,CN,5,2024,48,M,false,JMC,AUGUST,2024,Lecture 11
9,CN,5,2024,48,M,false,PYC,APRIL,2024,Lecture 14
10,IN,10,2017,74,U,true,JMC,OCTOBER,2021,Lecture 2
10,IN,10,2017,74,U,true,PYC,MAY,2022,Lecture 14
11,AU,2,2018,55,U,false,JMC,JUNE,2021,Lecture 14
11,AU,2,2018,55,U,false,PYC,MARCH,2021,Lecture 5
12,CN,5,2021,28,F,true,JMC,MAY,2024,Lecture 9
12,CN,5,2021,28,F,true,PYC,JULY,2021,Lecture 12
13,CN,11,2016,79,M,true,JMC,OCTOBER,2022,Lecture 6
13,CN,11,2016,79,M,true,PYC,NOVEMBER,2016,Lecture 3
14,CN,1,2015,58,U,true,JMC,NOVEMBER,2018,Lecture 6
14,CN,1,2015,58,U,true,PYC,JUNE,2015,Lecture 14
15,GB,10,2024,35,F,false,JMC,SEPTEMBER,2024,Lecture 3
15,GB,10,2024,35,F,false,PYC,FEBRUARY,2024,Lecture 13
16,GB,8,2023,50,U,true,JMC,SEPTEMBER,2024,Lecture 4
16,GB,8,2023,50,U,true,PYC,FEBRUARY,2023,Lecture 4
17,CN,11,2020,88,F,true,JMC,NOVEMBER,2020,Lecture 8
17,CN,11,2020,88,F,true,PYC,AUGUST,2021,Lecture 9
18,GB,6,2016,35,M,true,JMC,MAY,2017,Lecture 14
18,GB,6,2016,35,M,true,PYC,FEBRUARY,2022,Lecture 13
19,IN,5,2024,77,U,false,JMC,FEBRUARY,2024,Lecture 12
19,IN,5,2024,77,U,false,PYC,JUNE,2024,Lecture 4
20,GB,8,2015,69,F,false,JMC,NOVEMBER,2016,Lecture 8
20,GB,8,2015,69,F,false,PYC,MARCH,2020,Lecture 1
21,US,11,2017,63,F,true,JMC,OCTOBER,2022,Lecture 5
21,US,11,2017,63,F,true,PYC,APRIL,2018,Lecture 13
22,GB,4,2018,60,M,true,JMC,MARCH,2022,Lecture 12
22,GB,4,2018,60,M,true,PYC,APRIL,2019,Lecture 6
23,US,8,2021,34,U,false,JMC,JANUARY,2024,Lecture 3
23,US,8,2021,34,U,false,PYC,SEPTEMBER,2022,Lecture 6
24,GB,7,2022,62,F,false,JMC,JANUARY,2022,Lecture 10
24,GB,7,2022,62,F,false,PYC,OCTOBER,2024,Lecture 8
25,AU,12,2017,76,F,false,JMC,JANUARY,2022,Lecture 3
25,AU,12,2017,76,F,false,PYC,SEPTEMBER,2020,Lecture 4
